,Accuracy,False Negative,False Positive,True Negative,True Positive
a,0.9915080623843511,0.14733676975945018,0.0029381443298969073,0.9970618556701031,0.8526632302405498
b,0.9943827650013217,0.09278350515463918,0.0021305841924398627,0.9978694158075602,0.9072164948453608
c,0.9892446471054719,0.1323024054982818,0.005893470790378007,0.994106529209622,0.8676975945017182
d,0.9902854877081682,0.10352233676975946,0.0059621993127147764,0.9940378006872852,0.8964776632302406
e,0.9933584456780333,0.09836769759450172,0.002972508591065292,0.9970274914089348,0.9016323024054983
f,0.9941514670896114,0.07216494845360824,0.003195876288659794,0.9968041237113402,0.9278350515463918
g,0.9931601903251388,0.125,0.0021134020618556702,0.9978865979381444,0.875
h,0.9935732223103357,0.08118556701030928,0.003436426116838488,0.9965635738831615,0.9188144329896907
i,0.976291964049696,0.27963917525773196,0.013470790378006872,0.9865292096219931,0.720360824742268
j,0.9941845096484272,0.07173539518900343,0.0031786941580756014,0.9968213058419244,0.9282646048109966
k,0.9957540311921755,0.05025773195876289,0.0024054982817869417,0.9975945017182131,0.9497422680412371
l,0.9781588686227861,0.21477663230240548,0.014123711340206185,0.9858762886597938,0.7852233676975945
m,0.9957540311921755,0.07130584192439862,0.001563573883161512,0.9984364261168385,0.9286941580756014
n,0.9922515199577056,0.10438144329896908,0.0038831615120274916,0.9961168384879725,0.895618556701031
o,0.9837761036214644,0.16108247422680413,0.010429553264604811,0.9895704467353952,0.8389175257731959
p,0.9958696801480307,0.07474226804123711,0.0013058419243986254,0.9986941580756014,0.9252577319587629
q,0.9864525508855406,0.18642611683848798,0.006632302405498282,0.9933676975945017,0.813573883161512
r,0.9917558815754692,0.12886597938144329,0.0034192439862542954,0.9965807560137457,0.8711340206185567
s,0.997307031456516,0.028780068728522335,0.0016494845360824743,0.9983505154639175,0.9712199312714777
t,0.994614062913032,0.08161512027491409,0.002336769759450172,0.9976632302405498,0.9183848797250859
u,0.9905663494581021,0.11211340206185567,0.0053264604810996565,0.9946735395189004,0.8878865979381443
v,0.991111551678562,0.07130584192439862,0.006391752577319588,0.9936082474226804,0.9286941580756014
w,0.997439201691779,0.04338487972508591,0.0009278350515463917,0.9990721649484536,0.9566151202749141
x,0.9964314036478985,0.04939862542955326,0.0017353951890034364,0.9982646048109965,0.9506013745704467
y,0.9943001586042823,0.12199312714776632,0.0010481099656357389,0.9989518900343642,0.8780068728522337
z,0.997307031456516,0.03865979381443299,0.001254295532646048,0.998745704467354,0.961340206185567
