,image,label,identifier,character,offset,font,prediction
0,./Images/a_0.png,0,a,a,(0 -5),zeldadxt,a
1,./Images/a_1.png,0,a,a,(0 -2),zeldadxt,l
2,./Images/a_2.png,0,a,a,(0 1),zeldadxt,q
3,./Images/a_3.png,0,a,a,(3 -5),zeldadxt,u
4,./Images/a_4.png,0,a,a,(3 -2),zeldadxt,u
5,./Images/a_5.png,0,a,a,(3 1),zeldadxt,o
6,./Images/a_6.png,0,a,a,(0 -5),Waukegan LDO Black Oblique,e
7,./Images/a_7.png,0,a,a,(0 -2),Waukegan LDO Black Oblique,a
8,./Images/a_8.png,0,a,a,(0 1),Waukegan LDO Black Oblique,a
9,./Images/a_9.png,0,a,a,(3 -5),Waukegan LDO Black Oblique,a
10,./Images/a_10.png,0,a,a,(3 -2),Waukegan LDO Black Oblique,a
11,./Images/a_11.png,0,a,a,(3 1),Waukegan LDO Black Oblique,a
12,./Images/a_12.png,0,a,a,(0 -5),BabelSans,a
13,./Images/a_13.png,0,a,a,(0 -2),BabelSans,a
14,./Images/a_14.png,0,a,a,(0 1),BabelSans,a
15,./Images/a_15.png,0,a,a,(3 -5),BabelSans,a
16,./Images/a_16.png,0,a,a,(3 -2),BabelSans,a
17,./Images/a_17.png,0,a,a,(3 1),BabelSans,a
18,./Images/a_18.png,0,a,a,(0 -5),Buran USSR_0,a
19,./Images/a_19.png,0,a,a,(0 -2),Buran USSR_0,a
20,./Images/a_20.png,0,a,a,(0 1),Buran USSR_0,a
21,./Images/a_21.png,0,a,a,(3 -5),Buran USSR_0,a
22,./Images/a_22.png,0,a,a,(3 -2),Buran USSR_0,a
23,./Images/a_23.png,0,a,a,(3 1),Buran USSR_0,a
24,./Images/a_24.png,0,a,a,(0 -5),Trebuchet MS Italic,a
25,./Images/a_25.png,0,a,a,(0 -2),Trebuchet MS Italic,q
26,./Images/a_26.png,0,a,a,(0 1),Trebuchet MS Italic,o
27,./Images/a_27.png,0,a,a,(3 -5),Trebuchet MS Italic,q
28,./Images/a_28.png,0,a,a,(3 -2),Trebuchet MS Italic,a
29,./Images/a_29.png,0,a,a,(3 1),Trebuchet MS Italic,o
30,./Images/a_30.png,0,a,a,(0 -5),Georgia,a
31,./Images/a_31.png,0,a,a,(0 -2),Georgia,a
32,./Images/a_32.png,0,a,a,(0 1),Georgia,a
33,./Images/a_33.png,0,a,a,(3 -5),Georgia,a
34,./Images/a_34.png,0,a,a,(3 -2),Georgia,a
35,./Images/a_35.png,0,a,a,(3 1),Georgia,a
36,./Images/a_36.png,0,a,a,(0 -5),Opificio,o
37,./Images/a_37.png,0,a,a,(0 -2),Opificio,q
38,./Images/a_38.png,0,a,a,(0 1),Opificio,o
39,./Images/a_39.png,0,a,a,(3 -5),Opificio,o
40,./Images/a_40.png,0,a,a,(3 -2),Opificio,o
41,./Images/a_41.png,0,a,a,(3 1),Opificio,o
42,./Images/a_42.png,0,a,a,(0 -5),Verdana Bold,a
43,./Images/a_43.png,0,a,a,(0 -2),Verdana Bold,a
44,./Images/a_44.png,0,a,a,(0 1),Verdana Bold,a
45,./Images/a_45.png,0,a,a,(3 -5),Verdana Bold,a
46,./Images/a_46.png,0,a,a,(3 -2),Verdana Bold,a
47,./Images/a_47.png,0,a,a,(3 1),Verdana Bold,a
48,./Images/a_48.png,0,a,a,(0 -5),Snowstorm Kraft_0,a
49,./Images/a_49.png,0,a,a,(0 -2),Snowstorm Kraft_0,a
50,./Images/a_50.png,0,a,a,(0 1),Snowstorm Kraft_0,a
51,./Images/a_51.png,0,a,a,(3 -5),Snowstorm Kraft_0,j
52,./Images/a_52.png,0,a,a,(3 -2),Snowstorm Kraft_0,a
53,./Images/a_53.png,0,a,a,(3 1),Snowstorm Kraft_0,a
54,./Images/a_54.png,0,a,a,(0 -5),GrutchGrotesk-CondensedLight,d
55,./Images/a_55.png,0,a,a,(0 -2),GrutchGrotesk-CondensedLight,d
56,./Images/a_56.png,0,a,a,(0 1),GrutchGrotesk-CondensedLight,a
57,./Images/a_57.png,0,a,a,(3 -5),GrutchGrotesk-CondensedLight,c
58,./Images/a_58.png,0,a,a,(3 -2),GrutchGrotesk-CondensedLight,c
59,./Images/a_59.png,0,a,a,(3 1),GrutchGrotesk-CondensedLight,c
60,./Images/a_60.png,0,a,a,(0 -5),Alice and the Wicked Monster,a
61,./Images/a_61.png,0,a,a,(0 -2),Alice and the Wicked Monster,a
62,./Images/a_62.png,0,a,a,(0 1),Alice and the Wicked Monster,a
63,./Images/a_63.png,0,a,a,(3 -5),Alice and the Wicked Monster,a
64,./Images/a_64.png,0,a,a,(3 -2),Alice and the Wicked Monster,a
65,./Images/a_65.png,0,a,a,(3 1),Alice and the Wicked Monster,a
66,./Images/a_66.png,0,a,a,(0 -5),later_on,a
67,./Images/a_67.png,0,a,a,(0 -2),later_on,a
68,./Images/a_68.png,0,a,a,(0 1),later_on,a
69,./Images/a_69.png,0,a,a,(3 -5),later_on,a
70,./Images/a_70.png,0,a,a,(3 -2),later_on,a
71,./Images/a_71.png,0,a,a,(3 1),later_on,a
72,./Images/a_72.png,0,a,a,(0 -5),Buran USSR,a
73,./Images/a_73.png,0,a,a,(0 -2),Buran USSR,a
74,./Images/a_74.png,0,a,a,(0 1),Buran USSR,a
75,./Images/a_75.png,0,a,a,(3 -5),Buran USSR,a
76,./Images/a_76.png,0,a,a,(3 -2),Buran USSR,a
77,./Images/a_77.png,0,a,a,(3 1),Buran USSR,a
78,./Images/a_78.png,0,a,a,(0 -5),Monotoon KK,g
79,./Images/a_79.png,0,a,a,(0 -2),Monotoon KK,q
80,./Images/a_80.png,0,a,a,(0 1),Monotoon KK,n
81,./Images/a_81.png,0,a,a,(3 -5),Monotoon KK,q
82,./Images/a_82.png,0,a,a,(3 -2),Monotoon KK,q
83,./Images/a_83.png,0,a,a,(3 1),Monotoon KK,o
84,./Images/a_84.png,0,a,a,(0 -5),Tall Film Oblique,a
85,./Images/a_85.png,0,a,a,(0 -2),Tall Film Oblique,a
86,./Images/a_86.png,0,a,a,(0 1),Tall Film Oblique,a
87,./Images/a_87.png,0,a,a,(3 -5),Tall Film Oblique,a
88,./Images/a_88.png,0,a,a,(3 -2),Tall Film Oblique,a
89,./Images/a_89.png,0,a,a,(3 1),Tall Film Oblique,a
90,./Images/a_90.png,0,a,a,(0 -5),Times New Roman Bold Italic,a
91,./Images/a_91.png,0,a,a,(0 -2),Times New Roman Bold Italic,a
92,./Images/a_92.png,0,a,a,(0 1),Times New Roman Bold Italic,a
93,./Images/a_93.png,0,a,a,(3 -5),Times New Roman Bold Italic,a
94,./Images/a_94.png,0,a,a,(3 -2),Times New Roman Bold Italic,a
95,./Images/a_95.png,0,a,a,(3 1),Times New Roman Bold Italic,a
96,./Images/a_96.png,0,a,a,(0 -5),Silom,a
97,./Images/a_97.png,0,a,a,(0 -2),Silom,a
98,./Images/a_98.png,0,a,a,(0 1),Silom,a
99,./Images/a_99.png,0,a,a,(3 -5),Silom,a
100,./Images/a_100.png,0,a,a,(3 -2),Silom,a
101,./Images/a_101.png,0,a,a,(3 1),Silom,a
102,./Images/a_102.png,0,a,a,(0 -5),SF Willamette,a
103,./Images/a_103.png,0,a,a,(0 -2),SF Willamette,a
104,./Images/a_104.png,0,a,a,(0 1),SF Willamette,a
105,./Images/a_105.png,0,a,a,(3 -5),SF Willamette,a
