image,label,identifier,character,offset,font
./Images/a_0.png,0,a,a,(0 -5),zeldadxt
./Images/a_1.png,0,a,a,(0 -2),zeldadxt
./Images/a_2.png,0,a,a,(0 1),zeldadxt
./Images/a_3.png,0,a,a,(3 -5),zeldadxt
./Images/a_4.png,0,a,a,(3 -2),zeldadxt
./Images/a_5.png,0,a,a,(3 1),zeldadxt
./Images/a_6.png,0,a,a,(0 -5),Waukegan LDO Black Oblique
./Images/a_7.png,0,a,a,(0 -2),Waukegan LDO Black Oblique
./Images/a_8.png,0,a,a,(0 1),Waukegan LDO Black Oblique
./Images/a_9.png,0,a,a,(3 -5),Waukegan LDO Black Oblique
./Images/a_10.png,0,a,a,(3 -2),Waukegan LDO Black Oblique
./Images/a_11.png,0,a,a,(3 1),Waukegan LDO Black Oblique
./Images/a_12.png,0,a,a,(0 -5),BabelSans
./Images/a_13.png,0,a,a,(0 -2),BabelSans
./Images/a_14.png,0,a,a,(0 1),BabelSans
./Images/a_15.png,0,a,a,(3 -5),BabelSans
./Images/a_16.png,0,a,a,(3 -2),BabelSans
./Images/a_17.png,0,a,a,(3 1),BabelSans
./Images/a_18.png,0,a,a,(0 -5),Buran USSR_0
./Images/a_19.png,0,a,a,(0 -2),Buran USSR_0
./Images/a_20.png,0,a,a,(0 1),Buran USSR_0
./Images/a_21.png,0,a,a,(3 -5),Buran USSR_0
./Images/a_22.png,0,a,a,(3 -2),Buran USSR_0
./Images/a_23.png,0,a,a,(3 1),Buran USSR_0
./Images/a_24.png,0,a,a,(0 -5),Trebuchet MS Italic
./Images/a_25.png,0,a,a,(0 -2),Trebuchet MS Italic
./Images/a_26.png,0,a,a,(0 1),Trebuchet MS Italic
./Images/a_27.png,0,a,a,(3 -5),Trebuchet MS Italic
./Images/a_28.png,0,a,a,(3 -2),Trebuchet MS Italic
./Images/a_29.png,0,a,a,(3 1),Trebuchet MS Italic
./Images/a_30.png,0,a,a,(0 -5),Georgia
./Images/a_31.png,0,a,a,(0 -2),Georgia
./Images/a_32.png,0,a,a,(0 1),Georgia
./Images/a_33.png,0,a,a,(3 -5),Georgia
./Images/a_34.png,0,a,a,(3 -2),Georgia
./Images/a_35.png,0,a,a,(3 1),Georgia
./Images/a_36.png,0,a,a,(0 -5),Opificio
./Images/a_37.png,0,a,a,(0 -2),Opificio
./Images/a_38.png,0,a,a,(0 1),Opificio
./Images/a_39.png,0,a,a,(3 -5),Opificio
./Images/a_40.png,0,a,a,(3 -2),Opificio
./Images/a_41.png,0,a,a,(3 1),Opificio
./Images/a_42.png,0,a,a,(0 -5),Verdana Bold
./Images/a_43.png,0,a,a,(0 -2),Verdana Bold
./Images/a_44.png,0,a,a,(0 1),Verdana Bold
./Images/a_45.png,0,a,a,(3 -5),Verdana Bold
./Images/a_46.png,0,a,a,(3 -2),Verdana Bold
./Images/a_47.png,0,a,a,(3 1),Verdana Bold
./Images/a_48.png,0,a,a,(0 -5),Snowstorm Kraft_0
./Images/a_49.png,0,a,a,(0 -2),Snowstorm Kraft_0
./Images/a_50.png,0,a,a,(0 1),Snowstorm Kraft_0
./Images/a_51.png,0,a,a,(3 -5),Snowstorm Kraft_0
./Images/a_52.png,0,a,a,(3 -2),Snowstorm Kraft_0
./Images/a_53.png,0,a,a,(3 1),Snowstorm Kraft_0
./Images/a_54.png,0,a,a,(0 -5),GrutchGrotesk-CondensedLight
./Images/a_55.png,0,a,a,(0 -2),GrutchGrotesk-CondensedLight
./Images/a_56.png,0,a,a,(0 1),GrutchGrotesk-CondensedLight
